LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES
22939,50.167,66.333,MN6,1.0,1.0,2.0,0.5,0.5
22946,50.167,66.667,MN11,1.0,1.0,1.0,1.0,1.0
27746,47.2608333333333,8.336944444444441,MN5,2.0,1.0,8.0,0.25,0.125
21626,39.25,-9.083,MN10,1.0,1.0,7.0,0.14285714285714285,0.14285714285714285
21604,36.7879316,-6.1724551,MN15,1.0,5.0,9.0,0.1111111111111111,0.5555555555555556
27825,40.0718353,-2.1340053,MN2,5.0,1.0,6.0,0.8333333333333334,0.16666666666666666
24403,42.3333,-3.5,MQ18,0.0,0.0,1.0,0.0,0.0
24404,42.3333,-3.5,MQ18,0.0,0.0,2.0,0.0,0.0
24405,42.3333,-3.5,MQ18,1.0,0.0,1.0,1.0,0.0
24400,42.3333,-3.5,MQ18,0.0,0.0,1.0,0.0,0.0
22324,42.333,-3.5,MQ19,2.0,12.0,16.0,0.125,0.75
22325,42.333,-3.5,MQ19,2.0,10.0,12.0,0.16666666666666666,0.8333333333333334
27897,42.3333333333333,-3.5,MQ18,3.0,2.0,10.0,0.3,0.2
27898,42.3333333333333,-3.5,MQ18,1.0,1.0,1.0,1.0,1.0
24397,42.3333,-3.5,MQ18,4.0,2.0,12.0,0.3333333333333333,0.16666666666666666
22326,42.333,-3.5,MQ19,2.0,16.0,18.0,0.1111111111111111,0.8888888888888888
22327,42.333,-3.5,MQ19,1.0,2.0,2.0,0.5,1.0
24398,42.3333,-3.5,MQ18,4.0,1.0,11.0,0.36363636363636365,0.09090909090909091
22328,42.333,-3.5,MQ19,0.0,6.0,9.0,0.0,0.6666666666666666
22329,42.333,-3.5,MQ19,4.0,13.0,15.0,0.26666666666666666,0.8666666666666667
22330,42.333,-3.5,MQ19,1.0,5.0,7.0,0.14285714285714285,0.7142857142857143
22331,42.333,-3.5,MQ19,3.0,11.0,12.0,0.25,0.9166666666666666
22332,42.333,-3.5,MQ19,3.0,11.0,13.0,0.23076923076923078,0.8461538461538461
22333,42.3333333333333,-3.5,MQ19,1.0,13.0,15.0,0.06666666666666667,0.8666666666666667
22334,42.3333333333333,-3.5,MQ19,0.0,3.0,4.0,0.0,0.75
22335,42.3333333333333,-3.5,MQ19,0.0,2.0,2.0,0.0,1.0
22336,42.3333333333333,-3.5,MQ19,0.0,3.0,3.0,0.0,1.0
22337,42.3333333333333,-3.5,MQ19,3.0,7.0,9.0,0.3333333333333333,0.7777777777777778
22338,42.3333333333333,-3.5,MQ19,0.0,2.0,3.0,0.0,0.6666666666666666
22339,42.3333333333333,-3.5,MQ19,4.0,12.0,14.0,0.2857142857142857,0.8571428571428571
22340,42.3333333333333,-3.5,MQ19,3.0,8.0,9.0,0.3333333333333333,0.8888888888888888
22341,42.3333333333333,-3.5,MQ19,0.0,3.0,4.0,0.0,0.75
20994,47.0,28.8,MN9,2.0,4.0,9.0,0.2222222222222222,0.4444444444444444
21297,41.3212,-1.7563,MN3,2.0,1.0,9.0,0.2222222222222222,0.1111111111111111
21532,41.3192,-1.7616,MN3,4.0,2.0,12.0,0.3333333333333333,0.16666666666666666
27330,48.78253370000001,11.1897613,MN5,0.0,0.0,7.0,0.0,0.0
27087,48.51027777777779,16.544166666666698,MN9,2.0,6.0,13.0,0.15384615384615385,0.46153846153846156
20137,48.1,16.3,MN7-8,1.0,0.0,2.0,0.5,0.0
27651,44.5833333333333,4.61666666666667,MN11,0.0,1.0,1.0,0.0,1.0
27652,44.5833333333333,4.61666666666667,MN12,0.0,0.0,1.0,0.0,0.0
21242,44.583,4.617,MN11,0.0,0.0,2.0,0.0,0.0
23912,-28.3249,16.7692,MN3,3.0,2.0,5.0,0.6,0.4
22954,-23.75,16.5,MN3,0.0,0.0,4.0,0.0,0.0
22955,-23.75,16.5,MN3,0.0,0.0,1.0,0.0,0.0
23127,48.5,11.0,MN3,1.0,0.0,1.0,1.0,0.0
20424,48.133,11.583,MN7-8,1.0,2.0,10.0,0.1,0.2
23102,43.258011,27.81775,MN3,1.0,0.0,1.0,1.0,0.0
21677,43.584,0.617,MN5,0.0,0.0,1.0,0.0,0.0
28592,41.5347,2.0201,MN10,0.0,0.0,1.0,0.0,0.0
28593,41.5,2.02,MN10,1.0,3.0,8.0,0.125,0.375
28594,41.534,2.02,MN10,1.0,1.0,2.0,0.5,0.5
28588,41.5327,2.0201,MN9,1.0,0.0,7.0,0.14285714285714285,0.0
28589,41.5347,2.0201,MN9,1.0,1.0,6.0,0.16666666666666666,0.16666666666666666
28590,41.5347,2.0201,MN10,1.0,4.0,7.0,0.14285714285714285,0.5714285714285714
28591,41.5347,2.0201,MN9,0.0,0.0,4.0,0.0,0.0
27373,41.53479613320521,2.02011108398438,MN9,2.0,0.0,5.0,0.4,0.0
27372,41.53479613320521,2.02011108398438,MN10,0.0,1.0,4.0,0.0,0.25
28595,41.5,2.02,MN9,0.0,1.0,1.0,0.0,1.0
28596,41.55,1.94,MN9,1.0,0.0,7.0,0.14285714285714285,0.0
23057,47.517,0.05,MN3,13.0,8.0,22.0,0.5909090909090909,0.36363636363636365
27405,47.517,0.05,MN4,0.0,0.0,4.0,0.0,0.0
27279,47.5180122347786,0.052013397216796896,MN5,5.0,3.0,27.0,0.18518518518518517,0.1111111111111111
21303,47.717,1.567,MN5,0.0,0.0,2.0,0.0,0.0
22359,39.117,-8.867,MN9,0.0,0.0,2.0,0.0,0.0
27719,49.069,4.045,old,6.0,6.0,6.0,1.0,1.0
